chord,start,end
A:min,1.671836724,1.85759636
A:min,2.043355996,4.504671173
G:maj,5.4334693530000004,7.523265258
G:maj,7.6161450760000005,8.35918362
F:maj,8.405623529,12.167256158
A:min,12.213696067,13.931972700000001
D:maj,13.978412609000001,14.86077088
D:maj,15.185850243,18.5759636
A:min,18.622403509,21.780317321000002
A:min,22.105396684000002,22.29115632
F:maj,22.337596229,25.681269677
D:min,25.727709586,26.145668767
A:min,26.192108676,27.538866037000002
C:maj,27.585305946000002,29.350022488
F:maj,29.396462397,32.647256027000005
G:maj,32.693695936,35.108571204
G:maj,35.201451022,36.130249202
A:min,36.455328565,40.031201558
G:maj,40.077641467,40.40272083
G:maj,40.495600648,43.003355734
F:maj,43.049795643,46.486348909
A:min,46.532788818,48.529704905
G:maj,48.576144814,49.458503085000004
G:maj,49.504942994000004,49.922902175000004
C:maj,49.969342084000004,54.009614167
G:maj,54.056054076,56.842448616
F:maj,56.888888525,58.700044976
D:maj,58.746484885,60.232561973
C:maj,60.279001882,63.669115239
F:maj,63.715555148,67.523627686
A:min,67.570067595,69.427663955
A:min,69.474103864,70.402902044
F:maj,70.449341953,73.978775037
A:min,74.025214946,76.11501085100001
D:maj,76.16145076000001,76.67228975900001
D:maj,76.71872966800001,77.04380903100001
A:min,77.09024894000001,77.508208121
F:maj,77.55464803,80.944761387
G:maj,80.991201296,84.427754562
F:maj,84.474194471,87.86430782800001
A:min,87.91074773700001,91.672380366
C:maj,91.718820275,94.876734087
G:maj,94.923173996,98.266847444
F:maj,98.313287353,100.35664334900001
F:maj,100.40308325800001,100.91392225700001
C:maj,100.96036216600001,101.285441529
F:maj,101.331881438,101.471201165
G:maj,101.517641074,102.957278253
F:maj,105.232833794,108.622947151
G:maj,108.66938706,109.737504967
C:maj,109.783944876,110.29478387500001
G:maj,110.34122378400001,111.96662059900001
C:maj,112.01306050800001,115.310294047
D:min,115.356733956,117.260770225
F:maj,117.307210134,118.932606949
G:maj,118.979046858,119.443445948
